_id,lessonId,studentId
attendance_id_1,lesson_id_1,student_id_85
attendance_id_2,lesson_id_1,student_id_98
attendance_id_3,lesson_id_1,student_id_113
attendance_id_4,lesson_id_1,student_id_20
attendance_id_5,lesson_id_1,student_id_85
attendance_id_6,lesson_id_1,student_id_6
attendance_id_7,lesson_id_2,student_id_112
attendance_id_8,lesson_id_2,student_id_111
attendance_id_9,lesson_id_2,student_id_100
attendance_id_10,lesson_id_2,student_id_109
attendance_id_11,lesson_id_3,student_id_24
attendance_id_12,lesson_id_3,student_id_19
attendance_id_13,lesson_id_3,student_id_4
attendance_id_14,lesson_id_3,student_id_101
attendance_id_15,lesson_id_3,student_id_95
attendance_id_16,lesson_id_3,student_id_77
attendance_id_17,lesson_id_4,student_id_24
attendance_id_18,lesson_id_4,student_id_58
attendance_id_19,lesson_id_4,student_id_73
attendance_id_20,lesson_id_4,student_id_1
attendance_id_21,lesson_id_5,student_id_139
attendance_id_22,lesson_id_5,student_id_83
attendance_id_23,lesson_id_5,student_id_26
attendance_id_24,lesson_id_5,student_id_103
attendance_id_25,lesson_id_5,student_id_69
attendance_id_26,lesson_id_5,student_id_121
attendance_id_27,lesson_id_5,student_id_11
attendance_id_28,lesson_id_6,student_id_95
attendance_id_29,lesson_id_6,student_id_144
attendance_id_30,lesson_id_6,student_id_50
attendance_id_31,lesson_id_6,student_id_111
attendance_id_32,lesson_id_7,student_id_141
attendance_id_33,lesson_id_7,student_id_52
attendance_id_34,lesson_id_7,student_id_76
attendance_id_35,lesson_id_7,student_id_142
attendance_id_36,lesson_id_7,student_id_37
attendance_id_37,lesson_id_7,student_id_97
attendance_id_38,lesson_id_7,student_id_137
attendance_id_39,lesson_id_8,student_id_41
attendance_id_40,lesson_id_8,student_id_100
attendance_id_41,lesson_id_8,student_id_118
attendance_id_42,lesson_id_8,student_id_4
attendance_id_43,lesson_id_8,student_id_136
attendance_id_44,lesson_id_8,student_id_60
attendance_id_45,lesson_id_8,student_id_139
attendance_id_46,lesson_id_9,student_id_143
attendance_id_47,lesson_id_9,student_id_143
attendance_id_48,lesson_id_9,student_id_134
attendance_id_49,lesson_id_9,student_id_145
attendance_id_50,lesson_id_9,student_id_31
attendance_id_51,lesson_id_9,student_id_121
attendance_id_52,lesson_id_9,student_id_136
attendance_id_53,lesson_id_10,student_id_19
attendance_id_54,lesson_id_10,student_id_94
attendance_id_55,lesson_id_10,student_id_8
attendance_id_56,lesson_id_10,student_id_95
attendance_id_57,lesson_id_10,student_id_110
attendance_id_58,lesson_id_10,student_id_47
attendance_id_59,lesson_id_10,student_id_93
attendance_id_60,lesson_id_11,student_id_20
attendance_id_61,lesson_id_11,student_id_146
attendance_id_62,lesson_id_11,student_id_117
attendance_id_63,lesson_id_11,student_id_97
attendance_id_64,lesson_id_11,student_id_6
attendance_id_65,lesson_id_11,student_id_61
attendance_id_66,lesson_id_11,student_id_33
attendance_id_67,lesson_id_12,student_id_23
attendance_id_68,lesson_id_12,student_id_34
attendance_id_69,lesson_id_12,student_id_111
attendance_id_70,lesson_id_12,student_id_92
attendance_id_71,lesson_id_13,student_id_134
attendance_id_72,lesson_id_13,student_id_148
attendance_id_73,lesson_id_13,student_id_144
attendance_id_74,lesson_id_13,student_id_48
attendance_id_75,lesson_id_13,student_id_98
attendance_id_76,lesson_id_13,student_id_4
attendance_id_77,lesson_id_13,student_id_78
attendance_id_78,lesson_id_14,student_id_142
attendance_id_79,lesson_id_14,student_id_2
attendance_id_80,lesson_id_14,student_id_147
attendance_id_81,lesson_id_14,student_id_95
attendance_id_82,lesson_id_15,student_id_19
attendance_id_83,lesson_id_15,student_id_119
attendance_id_84,lesson_id_15,student_id_93
attendance_id_85,lesson_id_15,student_id_86
attendance_id_86,lesson_id_15,student_id_131
attendance_id_87,lesson_id_16,student_id_31
attendance_id_88,lesson_id_16,student_id_118
attendance_id_89,lesson_id_16,student_id_125
attendance_id_90,lesson_id_16,student_id_117
attendance_id_91,lesson_id_16,student_id_75
attendance_id_92,lesson_id_16,student_id_24
attendance_id_93,lesson_id_17,student_id_125
attendance_id_94,lesson_id_17,student_id_76
attendance_id_95,lesson_id_17,student_id_99
attendance_id_96,lesson_id_17,student_id_48
attendance_id_97,lesson_id_17,student_id_20
attendance_id_98,lesson_id_18,student_id_139
attendance_id_99,lesson_id_18,student_id_142
attendance_id_100,lesson_id_18,student_id_38
attendance_id_101,lesson_id_18,student_id_72
attendance_id_102,lesson_id_19,student_id_104
attendance_id_103,lesson_id_19,student_id_36
attendance_id_104,lesson_id_19,student_id_112
attendance_id_105,lesson_id_19,student_id_69
attendance_id_106,lesson_id_20,student_id_42
attendance_id_107,lesson_id_20,student_id_37
attendance_id_108,lesson_id_20,student_id_123
attendance_id_109,lesson_id_20,student_id_86
attendance_id_110,lesson_id_20,student_id_132
attendance_id_111,lesson_id_21,student_id_116
attendance_id_112,lesson_id_21,student_id_14
attendance_id_113,lesson_id_21,student_id_68
attendance_id_114,lesson_id_21,student_id_94
attendance_id_115,lesson_id_22,student_id_34
attendance_id_116,lesson_id_22,student_id_27
attendance_id_117,lesson_id_22,student_id_142
attendance_id_118,lesson_id_22,student_id_89
attendance_id_119,lesson_id_22,student_id_76
attendance_id_120,lesson_id_22,student_id_96
attendance_id_121,lesson_id_23,student_id_12
attendance_id_122,lesson_id_23,student_id_82
attendance_id_123,lesson_id_23,student_id_112
attendance_id_124,lesson_id_23,student_id_130
attendance_id_125,lesson_id_23,student_id_33
attendance_id_126,lesson_id_23,student_id_1
attendance_id_127,lesson_id_23,student_id_148
attendance_id_128,lesson_id_24,student_id_33
attendance_id_129,lesson_id_24,student_id_94
attendance_id_130,lesson_id_24,student_id_128
attendance_id_131,lesson_id_24,student_id_1
attendance_id_132,lesson_id_24,student_id_148
attendance_id_133,lesson_id_25,student_id_13
attendance_id_134,lesson_id_25,student_id_17
attendance_id_135,lesson_id_25,student_id_103
attendance_id_136,lesson_id_25,student_id_57
attendance_id_137,lesson_id_26,student_id_105
attendance_id_138,lesson_id_26,student_id_71
attendance_id_139,lesson_id_26,student_id_14
attendance_id_140,lesson_id_26,student_id_118
attendance_id_141,lesson_id_26,student_id_44
attendance_id_142,lesson_id_26,student_id_55
attendance_id_143,lesson_id_27,student_id_72
attendance_id_144,lesson_id_27,student_id_121
attendance_id_145,lesson_id_27,student_id_46
attendance_id_146,lesson_id_27,student_id_129
attendance_id_147,lesson_id_27,student_id_42
attendance_id_148,lesson_id_28,student_id_72
attendance_id_149,lesson_id_28,student_id_2
attendance_id_150,lesson_id_28,student_id_15
attendance_id_151,lesson_id_28,student_id_23
attendance_id_152,lesson_id_28,student_id_125
attendance_id_153,lesson_id_28,student_id_134
attendance_id_154,lesson_id_29,student_id_42
attendance_id_155,lesson_id_29,student_id_68
attendance_id_156,lesson_id_29,student_id_116
attendance_id_157,lesson_id_29,student_id_62
attendance_id_158,lesson_id_29,student_id_24
attendance_id_159,lesson_id_30,student_id_108
attendance_id_160,lesson_id_30,student_id_19
attendance_id_161,lesson_id_30,student_id_100
attendance_id_162,lesson_id_30,student_id_139
attendance_id_163,lesson_id_30,student_id_96
attendance_id_164,lesson_id_31,student_id_124
attendance_id_165,lesson_id_31,student_id_17
attendance_id_166,lesson_id_31,student_id_16
attendance_id_167,lesson_id_31,student_id_90
attendance_id_168,lesson_id_32,student_id_24
attendance_id_169,lesson_id_32,student_id_30
attendance_id_170,lesson_id_32,student_id_148
attendance_id_171,lesson_id_32,student_id_96
attendance_id_172,lesson_id_33,student_id_46
attendance_id_173,lesson_id_33,student_id_119
attendance_id_174,lesson_id_33,student_id_28
attendance_id_175,lesson_id_33,student_id_23
attendance_id_176,lesson_id_34,student_id_48
attendance_id_177,lesson_id_34,student_id_110
attendance_id_178,lesson_id_34,student_id_21
attendance_id_179,lesson_id_34,student_id_12
attendance_id_180,lesson_id_34,student_id_93
attendance_id_181,lesson_id_34,student_id_59
attendance_id_182,lesson_id_35,student_id_14
attendance_id_183,lesson_id_35,student_id_146
attendance_id_184,lesson_id_35,student_id_35
attendance_id_185,lesson_id_35,student_id_52
attendance_id_186,lesson_id_35,student_id_12
attendance_id_187,lesson_id_35,student_id_9
attendance_id_188,lesson_id_35,student_id_119
attendance_id_189,lesson_id_36,student_id_111
attendance_id_190,lesson_id_36,student_id_81
attendance_id_191,lesson_id_36,student_id_4
attendance_id_192,lesson_id_36,student_id_2
attendance_id_193,lesson_id_37,student_id_66
attendance_id_194,lesson_id_37,student_id_23
attendance_id_195,lesson_id_37,student_id_130
attendance_id_196,lesson_id_37,student_id_147
attendance_id_197,lesson_id_37,student_id_80
attendance_id_198,lesson_id_37,student_id_144
attendance_id_199,lesson_id_37,student_id_84
attendance_id_200,lesson_id_38,student_id_59
attendance_id_201,lesson_id_38,student_id_37
attendance_id_202,lesson_id_38,student_id_146
attendance_id_203,lesson_id_38,student_id_134
attendance_id_204,lesson_id_38,student_id_120
attendance_id_205,lesson_id_38,student_id_106
attendance_id_206,lesson_id_39,student_id_106
attendance_id_207,lesson_id_39,student_id_89
attendance_id_208,lesson_id_39,student_id_34
attendance_id_209,lesson_id_39,student_id_66
attendance_id_210,lesson_id_39,student_id_72
attendance_id_211,lesson_id_40,student_id_30
attendance_id_212,lesson_id_40,student_id_106
attendance_id_213,lesson_id_40,student_id_23
attendance_id_214,lesson_id_40,student_id_132
attendance_id_215,lesson_id_40,student_id_37
attendance_id_216,lesson_id_40,student_id_122
attendance_id_217,lesson_id_40,student_id_52
attendance_id_218,lesson_id_41,student_id_138
attendance_id_219,lesson_id_41,student_id_22
attendance_id_220,lesson_id_41,student_id_55
attendance_id_221,lesson_id_41,student_id_19
attendance_id_222,lesson_id_41,student_id_10
attendance_id_223,lesson_id_41,student_id_67
attendance_id_224,lesson_id_42,student_id_12
attendance_id_225,lesson_id_42,student_id_40
attendance_id_226,lesson_id_42,student_id_91
attendance_id_227,lesson_id_42,student_id_144
attendance_id_228,lesson_id_42,student_id_104
attendance_id_229,lesson_id_42,student_id_57
attendance_id_230,lesson_id_43,student_id_18
attendance_id_231,lesson_id_43,student_id_120
attendance_id_232,lesson_id_43,student_id_76
attendance_id_233,lesson_id_43,student_id_55
attendance_id_234,lesson_id_43,student_id_93
attendance_id_235,lesson_id_44,student_id_66
attendance_id_236,lesson_id_44,student_id_135
attendance_id_237,lesson_id_44,student_id_62
attendance_id_238,lesson_id_44,student_id_87
attendance_id_239,lesson_id_44,student_id_39
attendance_id_240,lesson_id_44,student_id_108
attendance_id_241,lesson_id_44,student_id_136
attendance_id_242,lesson_id_45,student_id_104
attendance_id_243,lesson_id_45,student_id_70
attendance_id_244,lesson_id_45,student_id_140
attendance_id_245,lesson_id_45,student_id_112
attendance_id_246,lesson_id_46,student_id_110
attendance_id_247,lesson_id_46,student_id_115
attendance_id_248,lesson_id_46,student_id_50
attendance_id_249,lesson_id_46,student_id_141
attendance_id_250,lesson_id_47,student_id_65
attendance_id_251,lesson_id_47,student_id_77
attendance_id_252,lesson_id_47,student_id_139
attendance_id_253,lesson_id_47,student_id_129
attendance_id_254,lesson_id_47,student_id_50
attendance_id_255,lesson_id_48,student_id_46
attendance_id_256,lesson_id_48,student_id_82
attendance_id_257,lesson_id_48,student_id_59
attendance_id_258,lesson_id_48,student_id_98
attendance_id_259,lesson_id_48,student_id_77
attendance_id_260,lesson_id_48,student_id_104
attendance_id_261,lesson_id_49,student_id_139
attendance_id_262,lesson_id_49,student_id_13
attendance_id_263,lesson_id_49,student_id_85
attendance_id_264,lesson_id_49,student_id_86
attendance_id_265,lesson_id_49,student_id_14
attendance_id_266,lesson_id_50,student_id_114
attendance_id_267,lesson_id_50,student_id_71
attendance_id_268,lesson_id_50,student_id_13
attendance_id_269,lesson_id_50,student_id_101
attendance_id_270,lesson_id_50,student_id_93
attendance_id_271,lesson_id_50,student_id_115
attendance_id_272,lesson_id_50,student_id_86
