_id,name,filial
group_id_1,English Group 1,other_filial_1
group_id_2,English Group 2,63c63702397ca6783eb57fa2
group_id_3,English Group 3,other_filial_3
group_id_4,English Group 4,63c63702397ca6783eb57fa2
group_id_5,English Group 5,other_filial_5
group_id_6,English Group 6,63c63702397ca6783eb57fa2
group_id_7,English Group 7,other_filial_7
group_id_8,English Group 8,63c63702397ca6783eb57fa2
group_id_9,English Group 9,other_filial_9
group_id_10,English Group 10,63c63702397ca6783eb57fa2
group_id_11,English Group 11,other_filial_11
group_id_12,English Group 12,63c63702397ca6783eb57fa2
group_id_13,English Group 13,other_filial_13
group_id_14,English Group 14,63c63702397ca6783eb57fa2
group_id_15,English Group 15,other_filial_15
group_id_16,English Group 16,63c63702397ca6783eb57fa2
group_id_17,English Group 17,other_filial_17
group_id_18,English Group 18,63c63702397ca6783eb57fa2
group_id_19,English Group 19,other_filial_19
group_id_20,English Group 20,63c63702397ca6783eb57fa2
