_id,groupId,date
lesson_id_1,group_id_1,2021-12-01T20:30:00.000Z
lesson_id_2,group_id_8,2021-12-01T12:00:00.000Z
lesson_id_3,group_id_4,2021-12-01T19:00:00.000Z
lesson_id_4,group_id_19,2021-12-01T15:00:00.000Z
lesson_id_5,group_id_1,2021-12-01T10:00:00.000Z
lesson_id_6,group_id_8,2021-12-01T17:00:00.000Z
lesson_id_7,group_id_7,2021-12-02T20:30:00.000Z
lesson_id_8,group_id_8,2021-12-02T16:30:00.000Z
lesson_id_9,group_id_1,2021-12-02T21:00:00.000Z
lesson_id_10,group_id_14,2021-12-02T14:30:00.000Z
lesson_id_11,group_id_5,2021-12-02T12:30:00.000Z
lesson_id_12,group_id_4,2021-12-02T10:30:00.000Z
lesson_id_13,group_id_4,2021-12-02T14:30:00.000Z
lesson_id_14,group_id_20,2021-12-02T13:00:00.000Z
lesson_id_15,group_id_15,2021-12-02T17:00:00.000Z
lesson_id_16,group_id_13,2021-12-02T10:30:00.000Z
lesson_id_17,group_id_12,2021-12-03T18:00:00.000Z
lesson_id_18,group_id_3,2021-12-03T09:00:00.000Z
lesson_id_19,group_id_10,2021-12-03T10:00:00.000Z
lesson_id_20,group_id_4,2021-12-03T15:30:00.000Z
lesson_id_21,group_id_15,2021-12-03T19:30:00.000Z
lesson_id_22,group_id_6,2021-12-03T14:30:00.000Z
lesson_id_23,group_id_7,2021-12-03T19:30:00.000Z
lesson_id_24,group_id_3,2021-12-03T18:00:00.000Z
lesson_id_25,group_id_18,2021-12-03T20:00:00.000Z
lesson_id_26,group_id_6,2021-12-03T16:30:00.000Z
lesson_id_27,group_id_18,2021-12-04T12:30:00.000Z
lesson_id_28,group_id_2,2021-12-04T12:00:00.000Z
lesson_id_29,group_id_11,2021-12-04T15:30:00.000Z
lesson_id_30,group_id_3,2021-12-04T12:30:00.000Z
lesson_id_31,group_id_7,2021-12-04T19:30:00.000Z
lesson_id_32,group_id_13,2021-12-04T19:30:00.000Z
lesson_id_33,group_id_5,2021-12-04T13:00:00.000Z
lesson_id_34,group_id_8,2021-12-04T20:30:00.000Z
lesson_id_35,group_id_14,2021-12-05T18:30:00.000Z
lesson_id_36,group_id_12,2021-12-05T12:00:00.000Z
lesson_id_37,group_id_17,2021-12-05T16:00:00.000Z
lesson_id_38,group_id_2,2021-12-05T10:00:00.000Z
lesson_id_39,group_id_6,2021-12-05T21:30:00.000Z
lesson_id_40,group_id_20,2021-12-05T10:30:00.000Z
lesson_id_41,group_id_13,2021-12-05T18:30:00.000Z
lesson_id_42,group_id_17,2021-12-05T13:00:00.000Z
lesson_id_43,group_id_4,2021-12-05T19:30:00.000Z
lesson_id_44,group_id_11,2021-12-05T10:30:00.000Z
lesson_id_45,group_id_6,2021-12-06T16:00:00.000Z
lesson_id_46,group_id_9,2021-12-06T17:00:00.000Z
lesson_id_47,group_id_17,2021-12-06T10:30:00.000Z
lesson_id_48,group_id_17,2021-12-06T18:00:00.000Z
lesson_id_49,group_id_5,2021-12-06T14:00:00.000Z
lesson_id_50,group_id_18,2021-12-06T21:00:00.000Z
lesson_id_51,group_id_20,2021-12-06T14:30:00.000Z
lesson_id_52,group_id_1,2021-12-06T10:30:00.000Z
lesson_id_53,group_id_10,2021-12-06T12:00:00.000Z
lesson_id_54,group_id_19,2021-12-07T10:00:00.000Z
lesson_id_55,group_id_16,2021-12-07T10:00:00.000Z
lesson_id_56,group_id_5,2021-12-07T19:30:00.000Z
lesson_id_57,group_id_18,2021-12-07T11:30:00.000Z
lesson_id_58,group_id_17,2021-12-07T18:30:00.000Z
lesson_id_59,group_id_7,2021-12-07T17:00:00.000Z
lesson_id_60,group_id_10,2021-12-07T15:30:00.000Z
lesson_id_61,group_id_17,2021-12-08T16:00:00.000Z
lesson_id_62,group_id_8,2021-12-08T12:00:00.000Z
lesson_id_63,group_id_11,2021-12-08T09:00:00.000Z
lesson_id_64,group_id_19,2021-12-08T12:00:00.000Z
lesson_id_65,group_id_3,2021-12-08T20:00:00.000Z
lesson_id_66,group_id_8,2021-12-08T10:00:00.000Z
lesson_id_67,group_id_11,2021-12-08T10:00:00.000Z
lesson_id_68,group_id_9,2021-12-08T19:30:00.000Z
lesson_id_69,group_id_7,2021-12-08T17:00:00.000Z
lesson_id_70,group_id_19,2021-12-09T16:00:00.000Z
lesson_id_71,group_id_16,2021-12-09T21:30:00.000Z
lesson_id_72,group_id_7,2021-12-09T10:00:00.000Z
lesson_id_73,group_id_14,2021-12-09T14:30:00.000Z
lesson_id_74,group_id_14,2021-12-09T16:00:00.000Z
lesson_id_75,group_id_4,2021-12-09T09:30:00.000Z
lesson_id_76,group_id_11,2021-12-09T21:00:00.000Z
lesson_id_77,group_id_8,2021-12-09T12:00:00.000Z
lesson_id_78,group_id_18,2021-12-09T16:00:00.000Z
lesson_id_79,group_id_14,2021-12-09T11:30:00.000Z
lesson_id_80,group_id_8,2021-12-10T10:30:00.000Z
lesson_id_81,group_id_18,2021-12-10T10:00:00.000Z
lesson_id_82,group_id_18,2021-12-10T09:00:00.000Z
lesson_id_83,group_id_8,2021-12-10T11:30:00.000Z
lesson_id_84,group_id_16,2021-12-10T16:00:00.000Z
lesson_id_85,group_id_13,2021-12-10T09:00:00.000Z
lesson_id_86,group_id_13,2021-12-10T09:30:00.000Z
lesson_id_87,group_id_9,2021-12-10T21:30:00.000Z
lesson_id_88,group_id_10,2021-12-10T15:30:00.000Z
lesson_id_89,group_id_7,2021-12-11T13:00:00.000Z
lesson_id_90,group_id_2,2021-12-11T18:00:00.000Z
lesson_id_91,group_id_11,2021-12-11T09:00:00.000Z
lesson_id_92,group_id_19,2021-12-11T16:00:00.000Z
lesson_id_93,group_id_2,2021-12-11T17:00:00.000Z
lesson_id_94,group_id_6,2021-12-11T10:00:00.000Z
lesson_id_95,group_id_8,2021-12-11T15:00:00.000Z
lesson_id_96,group_id_8,2021-12-12T18:00:00.000Z
lesson_id_97,group_id_20,2021-12-12T10:30:00.000Z
lesson_id_98,group_id_19,2021-12-12T18:30:00.000Z
lesson_id_99,group_id_9,2021-12-12T12:30:00.000Z
lesson_id_100,group_id_8,2021-12-12T13:30:00.000Z
lesson_id_101,group_id_5,2021-12-12T19:30:00.000Z
lesson_id_102,group_id_15,2021-12-12T14:00:00.000Z
lesson_id_103,group_id_1,2021-12-12T16:00:00.000Z
lesson_id_104,group_id_3,2021-12-12T17:00:00.000Z
lesson_id_105,group_id_17,2021-12-12T13:00:00.000Z
lesson_id_106,group_id_3,2021-12-13T12:30:00.000Z
lesson_id_107,group_id_10,2021-12-13T11:30:00.000Z
lesson_id_108,group_id_18,2021-12-13T20:30:00.000Z
lesson_id_109,group_id_20,2021-12-13T21:00:00.000Z
lesson_id_110,group_id_18,2021-12-13T13:00:00.000Z
lesson_id_111,group_id_5,2021-12-13T13:00:00.000Z
lesson_id_112,group_id_4,2021-12-13T20:00:00.000Z
lesson_id_113,group_id_9,2021-12-13T13:00:00.000Z
lesson_id_114,group_id_7,2021-12-14T19:30:00.000Z
lesson_id_115,group_id_17,2021-12-14T16:30:00.000Z
lesson_id_116,group_id_2,2021-12-14T10:30:00.000Z
lesson_id_117,group_id_9,2021-12-14T09:00:00.000Z
lesson_id_118,group_id_11,2021-12-14T21:00:00.000Z
lesson_id_119,group_id_9,2021-12-14T11:30:00.000Z
lesson_id_120,group_id_18,2021-12-14T20:30:00.000Z
lesson_id_121,group_id_18,2021-12-14T09:00:00.000Z
lesson_id_122,group_id_5,2021-12-15T17:00:00.000Z
lesson_id_123,group_id_12,2021-12-15T18:00:00.000Z
lesson_id_124,group_id_14,2021-12-15T11:00:00.000Z
lesson_id_125,group_id_10,2021-12-15T14:00:00.000Z
lesson_id_126,group_id_12,2021-12-15T12:00:00.000Z
lesson_id_127,group_id_4,2021-12-15T14:30:00.000Z
lesson_id_128,group_id_5,2021-12-16T12:00:00.000Z
lesson_id_129,group_id_6,2021-12-16T15:00:00.000Z
lesson_id_130,group_id_6,2021-12-16T20:30:00.000Z
lesson_id_131,group_id_14,2021-12-16T21:00:00.000Z
lesson_id_132,group_id_9,2021-12-16T11:00:00.000Z
lesson_id_133,group_id_13,2021-12-16T09:30:00.000Z
lesson_id_134,group_id_8,2021-12-16T12:30:00.000Z
lesson_id_135,group_id_12,2021-12-16T13:00:00.000Z
lesson_id_136,group_id_8,2021-12-16T09:00:00.000Z
lesson_id_137,group_id_13,2021-12-16T14:30:00.000Z
lesson_id_138,group_id_9,2021-12-17T14:30:00.000Z
lesson_id_139,group_id_18,2021-12-17T14:00:00.000Z
lesson_id_140,group_id_4,2021-12-17T13:00:00.000Z
lesson_id_141,group_id_19,2021-12-17T13:00:00.000Z
lesson_id_142,group_id_4,2021-12-17T18:30:00.000Z
lesson_id_143,group_id_12,2021-12-17T20:30:00.000Z
lesson_id_144,group_id_20,2021-12-18T17:00:00.000Z
lesson_id_145,group_id_13,2021-12-18T18:00:00.000Z
lesson_id_146,group_id_9,2021-12-18T09:30:00.000Z
lesson_id_147,group_id_1,2021-12-18T17:00:00.000Z
lesson_id_148,group_id_12,2021-12-18T15:00:00.000Z
lesson_id_149,group_id_11,2021-12-18T18:30:00.000Z
lesson_id_150,group_id_4,2021-12-18T20:30:00.000Z
lesson_id_151,group_id_17,2021-12-18T13:30:00.000Z
lesson_id_152,group_id_11,2021-12-18T15:30:00.000Z
lesson_id_153,group_id_5,2021-12-19T12:30:00.000Z
lesson_id_154,group_id_13,2021-12-19T19:00:00.000Z
lesson_id_155,group_id_20,2021-12-19T18:30:00.000Z
lesson_id_156,group_id_13,2021-12-19T17:00:00.000Z
lesson_id_157,group_id_10,2021-12-19T13:00:00.000Z
lesson_id_158,group_id_14,2021-12-19T21:30:00.000Z
lesson_id_159,group_id_15,2021-12-19T16:30:00.000Z
lesson_id_160,group_id_7,2021-12-19T17:30:00.000Z
lesson_id_161,group_id_6,2021-12-19T19:00:00.000Z
lesson_id_162,group_id_10,2021-12-19T17:30:00.000Z
lesson_id_163,group_id_8,2021-12-20T19:30:00.000Z
lesson_id_164,group_id_8,2021-12-20T21:00:00.000Z
lesson_id_165,group_id_5,2021-12-20T09:00:00.000Z
lesson_id_166,group_id_8,2021-12-20T16:00:00.000Z
lesson_id_167,group_id_15,2021-12-20T15:00:00.000Z
lesson_id_168,group_id_13,2021-12-20T16:30:00.000Z
lesson_id_169,group_id_5,2021-12-21T19:00:00.000Z
lesson_id_170,group_id_4,2021-12-21T21:30:00.000Z
lesson_id_171,group_id_8,2021-12-21T11:30:00.000Z
lesson_id_172,group_id_2,2021-12-21T17:00:00.000Z
lesson_id_173,group_id_4,2021-12-21T16:00:00.000Z
lesson_id_174,group_id_15,2021-12-21T19:30:00.000Z
lesson_id_175,group_id_15,2021-12-21T18:30:00.000Z
lesson_id_176,group_id_15,2021-12-22T11:30:00.000Z
lesson_id_177,group_id_15,2021-12-22T13:00:00.000Z
lesson_id_178,group_id_9,2021-12-22T21:30:00.000Z
lesson_id_179,group_id_8,2021-12-22T13:30:00.000Z
lesson_id_180,group_id_3,2021-12-22T20:30:00.000Z
lesson_id_181,group_id_8,2021-12-22T13:30:00.000Z
lesson_id_182,group_id_11,2021-12-22T17:00:00.000Z
lesson_id_183,group_id_5,2021-12-22T11:00:00.000Z
lesson_id_184,group_id_13,2021-12-22T20:00:00.000Z
lesson_id_185,group_id_7,2021-12-22T10:30:00.000Z
lesson_id_186,group_id_11,2021-12-23T17:30:00.000Z
lesson_id_187,group_id_14,2021-12-23T09:00:00.000Z
lesson_id_188,group_id_14,2021-12-23T15:00:00.000Z
lesson_id_189,group_id_19,2021-12-23T15:30:00.000Z
lesson_id_190,group_id_1,2021-12-23T14:30:00.000Z
lesson_id_191,group_id_13,2021-12-23T15:00:00.000Z
lesson_id_192,group_id_16,2021-12-23T12:30:00.000Z
lesson_id_193,group_id_14,2021-12-23T16:00:00.000Z
lesson_id_194,group_id_13,2021-12-23T14:30:00.000Z
lesson_id_195,group_id_15,2021-12-24T11:00:00.000Z
lesson_id_196,group_id_13,2021-12-24T18:00:00.000Z
lesson_id_197,group_id_3,2021-12-24T19:30:00.000Z
lesson_id_198,group_id_5,2021-12-24T16:00:00.000Z
lesson_id_199,group_id_2,2021-12-24T13:30:00.000Z
lesson_id_200,group_id_11,2021-12-24T12:30:00.000Z
lesson_id_201,group_id_11,2021-12-24T14:30:00.000Z
lesson_id_202,group_id_14,2021-12-25T13:00:00.000Z
lesson_id_203,group_id_16,2021-12-25T09:00:00.000Z
lesson_id_204,group_id_12,2021-12-25T12:00:00.000Z
lesson_id_205,group_id_2,2021-12-25T21:00:00.000Z
lesson_id_206,group_id_8,2021-12-25T12:00:00.000Z
lesson_id_207,group_id_20,2021-12-25T11:00:00.000Z
lesson_id_208,group_id_5,2021-12-25T16:00:00.000Z
lesson_id_209,group_id_19,2021-12-25T12:30:00.000Z
lesson_id_210,group_id_12,2021-12-26T11:00:00.000Z
lesson_id_211,group_id_6,2021-12-26T13:00:00.000Z
lesson_id_212,group_id_19,2021-12-26T09:30:00.000Z
lesson_id_213,group_id_19,2021-12-26T19:30:00.000Z
lesson_id_214,group_id_13,2021-12-26T20:00:00.000Z
lesson_id_215,group_id_3,2021-12-26T18:00:00.000Z
lesson_id_216,group_id_4,2021-12-26T20:30:00.000Z
lesson_id_217,group_id_20,2021-12-26T21:00:00.000Z
lesson_id_218,group_id_2,2021-12-27T14:30:00.000Z
lesson_id_219,group_id_12,2021-12-27T10:30:00.000Z
lesson_id_220,group_id_1,2021-12-27T15:30:00.000Z
lesson_id_221,group_id_4,2021-12-27T15:30:00.000Z
lesson_id_222,group_id_15,2021-12-27T20:00:00.000Z
lesson_id_223,group_id_14,2021-12-27T11:30:00.000Z
lesson_id_224,group_id_20,2021-12-27T21:30:00.000Z
lesson_id_225,group_id_15,2021-12-27T15:30:00.000Z
lesson_id_226,group_id_11,2021-12-27T12:00:00.000Z
lesson_id_227,group_id_9,2021-12-27T16:00:00.000Z
lesson_id_228,group_id_19,2021-12-28T18:30:00.000Z
lesson_id_229,group_id_11,2021-12-28T09:30:00.000Z
lesson_id_230,group_id_11,2021-12-28T11:30:00.000Z
lesson_id_231,group_id_7,2021-12-28T14:30:00.000Z
lesson_id_232,group_id_11,2021-12-28T13:30:00.000Z
lesson_id_233,group_id_18,2021-12-28T09:00:00.000Z
lesson_id_234,group_id_3,2021-12-28T12:30:00.000Z
lesson_id_235,group_id_16,2021-12-28T17:00:00.000Z
lesson_id_236,group_id_16,2021-12-28T19:30:00.000Z
lesson_id_237,group_id_1,2021-12-29T10:30:00.000Z
lesson_id_238,group_id_8,2021-12-29T15:00:00.000Z
lesson_id_239,group_id_10,2021-12-29T19:30:00.000Z
lesson_id_240,group_id_16,2021-12-29T17:30:00.000Z
lesson_id_241,group_id_14,2021-12-29T20:30:00.000Z
lesson_id_242,group_id_12,2021-12-29T20:30:00.000Z
lesson_id_243,group_id_9,2021-12-29T13:30:00.000Z
lesson_id_244,group_id_8,2021-12-29T10:00:00.000Z
lesson_id_245,group_id_11,2021-12-29T10:00:00.000Z
lesson_id_246,group_id_7,2021-12-30T20:30:00.000Z
lesson_id_247,group_id_9,2021-12-30T20:30:00.000Z
lesson_id_248,group_id_4,2021-12-30T12:30:00.000Z
lesson_id_249,group_id_8,2021-12-30T14:00:00.000Z
lesson_id_250,group_id_10,2021-12-30T09:00:00.000Z
lesson_id_251,group_id_9,2021-12-30T09:00:00.000Z
lesson_id_252,group_id_18,2021-12-30T13:00:00.000Z
lesson_id_253,group_id_4,2021-12-31T09:30:00.000Z
lesson_id_254,group_id_16,2021-12-31T16:30:00.000Z
lesson_id_255,group_id_11,2021-12-31T11:00:00.000Z
lesson_id_256,group_id_9,2021-12-31T16:00:00.000Z
lesson_id_257,group_id_3,2021-12-31T15:30:00.000Z
lesson_id_258,group_id_3,2021-12-31T18:00:00.000Z
lesson_id_259,group_id_5,2021-12-31T11:30:00.000Z
lesson_id_260,group_id_3,2021-12-31T12:00:00.000Z
lesson_id_261,group_id_18,2021-12-31T21:30:00.000Z
lesson_id_262,group_id_20,2022-01-01T21:00:00.000Z
lesson_id_263,group_id_17,2022-01-01T15:30:00.000Z
lesson_id_264,group_id_15,2022-01-01T13:30:00.000Z
lesson_id_265,group_id_10,2022-01-01T18:00:00.000Z
lesson_id_266,group_id_20,2022-01-01T20:00:00.000Z
lesson_id_267,group_id_7,2022-01-01T19:00:00.000Z
lesson_id_268,group_id_9,2022-01-01T19:00:00.000Z
lesson_id_269,group_id_6,2022-01-01T12:00:00.000Z
lesson_id_270,group_id_18,2022-01-01T10:00:00.000Z
lesson_id_271,group_id_1,2022-01-01T15:30:00.000Z
lesson_id_272,group_id_20,2022-01-01T16:30:00.000Z
lesson_id_273,group_id_8,2022-01-02T13:30:00.000Z
lesson_id_274,group_id_15,2022-01-02T10:00:00.000Z
lesson_id_275,group_id_9,2022-01-02T21:00:00.000Z
lesson_id_276,group_id_14,2022-01-02T10:00:00.000Z
lesson_id_277,group_id_5,2022-01-02T13:00:00.000Z
lesson_id_278,group_id_3,2022-01-02T09:00:00.000Z
lesson_id_279,group_id_10,2022-01-02T18:30:00.000Z
lesson_id_280,group_id_4,2022-01-03T16:30:00.000Z
lesson_id_281,group_id_13,2022-01-03T13:30:00.000Z
lesson_id_282,group_id_15,2022-01-03T10:00:00.000Z
lesson_id_283,group_id_14,2022-01-03T20:30:00.000Z
lesson_id_284,group_id_20,2022-01-03T13:00:00.000Z
lesson_id_285,group_id_3,2022-01-03T12:00:00.000Z
lesson_id_286,group_id_9,2022-01-03T18:00:00.000Z
lesson_id_287,group_id_6,2022-01-03T16:30:00.000Z
lesson_id_288,group_id_9,2022-01-03T11:30:00.000Z
lesson_id_289,group_id_16,2022-01-03T10:30:00.000Z
